iter	RMSE
0	12.71307178
1	11.58060306
2	10.5669556
3	9.654569231
4	8.842542495
5	8.107008882
6	7.447046149
7	6.851770229
8	6.325149926
9	5.850229738
10	5.441727338
11	5.064214284
12	4.729626468
13	4.43522056
14	4.157981019
15	3.919821332
16	3.698419666
17	3.508546259
18	3.348453953
19	3.208621122
20	3.059618307
21	2.926305661
22	2.829788572
23	2.726702006
24	2.621452351
25	2.537345993
26	2.448438566
27	2.38458084
28	2.315387218
29	2.258270869
30	2.202468571
31	2.142077421
32	2.098696219
33	2.048360442
34	2.00354922
35	1.96269635
36	1.924276346
37	1.879752018
38	1.860762652
39	1.819585253
40	1.781524672
41	1.750583394
42	1.719452827
43	1.699121379
44	1.671902697
45	1.648500681
46	1.637897773
47	1.623302149
48	1.593475702
49	1.565409303
50	1.551351707
51	1.52305045
52	1.501607847
53	1.490736977
54	1.477364965
55	1.4628062
56	1.442743523
57	1.419000261
58	1.40247596
59	1.398649206
60	1.382295359
61	1.367210603
62	1.348741934
63	1.331790989
64	1.317853733
65	1.301856895
66	1.28635199
67	1.271959897
68	1.258289105
69	1.238458108
70	1.229182609
71	1.215897437
72	1.202919876
73	1.18754346
74	1.17178959
75	1.160998024
76	1.156715531
77	1.141967577
78	1.131507458
79	1.119059533
80	1.104734355
81	1.091757702
82	1.081985111
83	1.070403289
84	1.058482647
85	1.045920438
86	1.035167337
87	1.024130921
88	1.016219964
89	1.002409601
90	0.9873215958
91	0.9787843102
92	0.973327829
93	0.964337839
94	0.9560279777
95	0.9468408032
96	0.9404202204
97	0.9335969254
98	0.9260751658
99	0.9194935412
