iter	Passed	Remaining
0	50	4959
1	96	4751
2	137	4438
3	189	4558
4	232	4408
5	283	4448
6	328	4364
7	376	4333
8	420	4255
9	468	4214
10	510	4131
11	562	4125
12	606	4055
13	655	4026
14	696	3949
15	747	3926
16	789	3855
17	859	3917
18	918	3915
19	964	3857
20	1006	3786
21	1056	3746
22	1099	3679
23	1147	3635
24	1190	3570
25	1243	3538
26	1284	3472
27	1333	3428
28	1373	3363
29	1428	3334
30	1471	3274
31	1518	3227
32	1557	3162
33	1629	3163
34	1669	3100
35	1721	3060
36	1760	2997
37	1813	2958
38	1856	2904
39	1911	2866
40	1951	2808
41	2001	2764
42	2043	2709
43	2094	2665
44	2136	2611
45	2186	2566
46	2227	2511
47	2279	2469
48	2320	2415
49	2373	2373
50	2413	2318
51	2455	2266
52	2497	2214
53	2544	2167
54	2585	2115
55	2634	2069
56	2674	2017
57	2727	1975
58	2766	1922
59	2830	1887
60	2871	1835
61	2912	1785
62	2950	1732
63	2991	1682
64	3034	1634
65	3084	1588
66	3124	1538
67	3174	1493
68	3217	1445
69	3260	1397
70	3299	1347
71	3344	1300
72	3383	1251
73	3438	1208
74	3477	1159
75	3533	1115
76	3573	1067
77	3641	1027
78	3682	978
79	3749	937
80	3792	889
81	3840	842
82	3879	794
83	3936	749
84	3981	702
85	4028	655
86	4071	608
87	4120	561
88	4161	514
89	4213	468
90	4257	421
91	4305	374
92	4347	327
93	4395	280
94	4438	233
95	4487	186
96	4529	140
97	4579	93
98	4622	46
99	4671	0
